"ID","ClassName","Likelihood","Impact","LikelihoodPenalty","ImpactPenalty","RiskID","SecurityControlID","SecurityComponentID"
1,"NZTA\SDLT\Model\ControlWeightSet",7,5,10,10,2,36,37
2,"NZTA\SDLT\Model\ControlWeightSet",5,5,5,0,3,36,37
3,"NZTA\SDLT\Model\ControlWeightSet",5,10,0,15,2,37,37
4,"NZTA\SDLT\Model\ControlWeightSet",1,4,0,0,3,37,37
5,"NZTA\SDLT\Model\ControlWeightSet",1,4,0,0,4,37,37
6,"NZTA\SDLT\Model\ControlWeightSet",4,0,5,0,2,38,37
7,"NZTA\SDLT\Model\ControlWeightSet",4,0,5,0,3,38,37
8,"NZTA\SDLT\Model\ControlWeightSet",4,0,5,0,2,39,37
9,"NZTA\SDLT\Model\ControlWeightSet",4,0,5,0,3,39,37
10,"NZTA\SDLT\Model\ControlWeightSet",8,0,5,0,2,40,37
11,"NZTA\SDLT\Model\ControlWeightSet",6,0,0,0,3,40,37
12,"NZTA\SDLT\Model\ControlWeightSet",2,1,0,0,3,41,37
13,"NZTA\SDLT\Model\ControlWeightSet",2,2,0,0,4,41,37
14,"NZTA\SDLT\Model\ControlWeightSet",2,2,0,0,2,42,37
15,"NZTA\SDLT\Model\ControlWeightSet",1,1,0,0,3,42,37
16,"NZTA\SDLT\Model\ControlWeightSet",4,5,0,0,4,23,37
17,"NZTA\SDLT\Model\ControlWeightSet",2,2,0,0,8,23,37
18,"NZTA\SDLT\Model\ControlWeightSet",2,2,0,0,6,23,37
19,"NZTA\SDLT\Model\ControlWeightSet",2,2,0,0,10,23,37
20,"NZTA\SDLT\Model\ControlWeightSet",1,1,0,0,4,43,37
21,"NZTA\SDLT\Model\ControlWeightSet",3,3,0,0,8,43,37
22,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,6,43,37
23,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,10,43,37
24,"NZTA\SDLT\Model\ControlWeightSet",0,3,0,0,2,26,37
25,"NZTA\SDLT\Model\ControlWeightSet",0,3,0,0,3,26,37
26,"NZTA\SDLT\Model\ControlWeightSet",0,3,0,0,4,26,37
27,"NZTA\SDLT\Model\ControlWeightSet",1,4,0,0,8,26,37
28,"NZTA\SDLT\Model\ControlWeightSet",1,5,0,0,6,26,37
29,"NZTA\SDLT\Model\ControlWeightSet",1,5,0,0,10,26,37
30,"NZTA\SDLT\Model\ControlWeightSet",3,5,0,0,2,44,37
31,"NZTA\SDLT\Model\ControlWeightSet",3,6,0,0,3,44,37
32,"NZTA\SDLT\Model\ControlWeightSet",1,1,0,0,4,44,37
33,"NZTA\SDLT\Model\ControlWeightSet",1,0,0,0,6,44,37
34,"NZTA\SDLT\Model\ControlWeightSet",1,0,0,0,10,44,37
35,"NZTA\SDLT\Model\ControlWeightSet",4,5,0,0,2,28,37
36,"NZTA\SDLT\Model\ControlWeightSet",4,5,0,0,3,28,37
37,"NZTA\SDLT\Model\ControlWeightSet",4,5,0,0,4,28,37
38,"NZTA\SDLT\Model\ControlWeightSet",3,5,0,0,8,28,37
39,"NZTA\SDLT\Model\ControlWeightSet",3,5,0,0,6,28,37
40,"NZTA\SDLT\Model\ControlWeightSet",3,5,0,0,10,28,37
41,"NZTA\SDLT\Model\ControlWeightSet",2,2,0,0,2,45,37
42,"NZTA\SDLT\Model\ControlWeightSet",2,1,0,0,3,45,37
43,"NZTA\SDLT\Model\ControlWeightSet",1,1,0,0,4,45,37
44,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,6,45,37
