"ID","ClassName","LastEdited","Created","Title","Question","Description","AnswerFieldType","QuestionnaireID","SortOrder","TaskID"
1,"NZTA\SDLT\Model\Question","2020-02-11 07:37:16","2019-03-06 10:49:10","Product Details","Please enter details of the product","Please enter the name, homepage and a contact email address for the product. If you do not have a contact within the product company, please put your own email address as point of contact.","input",1,1,0
2,"NZTA\SDLT\Model\Question","2019-04-23 15:03:46","2019-03-06 10:51:02"," Existing POC/Trial","Is this an existing Proof of Concept or Trial?","Has this product already gone through a proof of concept or trial?
OR:
Is this product currently in a proof of concept or trial and you want an extension?","action",1,4,0
4,"NZTA\SDLT\Model\Question","2019-05-09 09:01:08","2019-03-06 11:07:25","Product Used Before","Is this product currently, or previously in use at the Transport Agency?","Is another part of the Transport Agency already using this product? Was it used previously?","action",1,5,0
5,"NZTA\SDLT\Model\Question","2020-06-17 12:31:24","2019-03-06 11:08:54","Funded By Transport Agency","Has the Transport Agency paid for the development of this product?","<p>Has this product been developed by the Transport Agency? OR: Has it been developed by a partner at the expense of the Transport Agency?</p><p>If the Transport Agency is paying for customisations to a platform, this is not considered development of the product so please select 'No'.</p>","action",1,6,0
6,"NZTA\SDLT\Model\Question","2019-10-07 08:56:35","2019-03-06 11:53:58","Business Owner","Please enter details of the business owner for this POC/Trial","The business owner is the person who can formally accept risk to the data used in this Proof of Concept/Trial. This is a business line manager, not security. As part of this submission, the business owner will be used to approve the Proof of Concept/Trial. ","input",1,2,0
7,"NZTA\SDLT\Model\Question","2019-04-23 15:03:46","2019-03-06 12:01:35","Product Description","Please describe what the product does in plain English","Include description of the product's features, the ones the Transport Agency wants to use and how we intend to use them.","input",1,8,0
8,"NZTA\SDLT\Model\Question","2019-04-23 15:03:46","2019-03-06 12:15:17","Product Purpose","Please describe why the Transport Agency needs this product","Include description of why this is important, why the Transport Agency needs this and what would happen if we don't fill this gap","input",1,9,0
9,"NZTA\SDLT\Model\Question","2019-06-13 13:28:14","2019-03-06 12:30:17","Credit Card Payments","Will this product accept credit cards from NZ Transport Agency customers?","Will this product accept credit card payments from the NZ Public on behalf of the Transport Agency?","action",1,12,0
10,"NZTA\SDLT\Model\Question","2019-04-23 15:03:46","2019-03-06 12:37:51","Credit Card Connection","Will this product directly talk to the Transport Agency Payment Micro-site or Common Payment Services (CPS) system?","To use this product, will there need to be some integration with Transport Agency systems that handle payments? This includes the Payment Micro-site and Common Payment Services (CPS). ","action",1,13,0
11,"NZTA\SDLT\Model\Question","2019-04-23 15:03:46","2019-03-06 12:38:59","Firewall Changes","Will you require firewall changes to be made to use this product?","If this product requires connections to/from Transport Agency systems that are not Web (e.g. Chrome/Edge/Firefox) the answer is probably Yes","action",1,14,0
12,"NZTA\SDLT\Model\Question","2019-04-23 15:03:46","2019-03-06 12:40:34"," Firewall Information","Please describe what firewall changes you might need","Please name the systems that need to talk and how. This doesn't have to be technically accurate, but an indication of what systems need to talk and how would be a good start for Infrastructure.","input",1,15,0
13,"NZTA\SDLT\Model\Question","2019-04-23 15:03:46","2019-03-06 12:47:21","Data Safety","Please describe how Transport Agency data is protected/anonymised","Please describe any changes you will make to Transport Agency data before it is used by the product. Include how Personally Identifiable Information etc will be anonymised or cleansed before being used. If the data is being used in it's original state please note this.","input",1,17,0
14,"NZTA\SDLT\Model\Question","2019-04-23 15:03:46","2019-03-06 12:48:53","Expected Outcomes","Please describe the expected outcomes","Please list outcomes that will be used as success criteria for this POC/Trial. The result of this trial should be measured against these outcomes to determine if the product will be formerly adopted. This will be key functionality working that the Transport Agency will benefit from.","input",1,19,0
15,"NZTA\SDLT\Model\Question","2019-04-23 15:03:46","2019-03-06 12:51:00","Evaluation Method","Please describe how the outcomes of this trial will be evaluated?","Please describe the methodology that will be used to evaluate the outcomes of this trial. Will each of the expected outcomes be scored against known criteria? Or will it be based on gut feeling about the product? ","input",1,20,0
17,"NZTA\SDLT\Model\Question","2019-04-23 15:03:46","2019-03-06 12:54:17","Key Stakeholders","Please list names and roles of key stakeholders","Key stakeholders are people who
- Will use the product
- Will pay for the product
- Will have data/information stored by the product
- Will have deliverables tied to the use of this product","input",1,11,0
18,"NZTA\SDLT\Model\Question","2019-04-23 15:03:46","2019-03-06 12:57:24","Time-Span","How long will this proof of concept or trial last?","Please note down how long the trial will last in days or weeks","input",1,21,0
19,"NZTA\SDLT\Model\Question","2019-04-23 15:03:46","2019-03-06 12:59:53","Start Date","When does this proof of concept or trial begin?","","input",1,22,0
20,"NZTA\SDLT\Model\Question","2019-04-23 15:03:46","2019-03-06 13:01:16","POC/Trial Users","Please list the names and roles of Transport Agency staff who will use this product","Users are the people who will be using the product during POC/Trial phase. You do not need to list the users who would use this product in a full deployment, unless they are part of the trial. Please list individual users, not groups/departments.","input",1,18,0
22,"NZTA\SDLT\Model\Question","2020-06-12 14:42:53","2019-03-14 10:44:44","Product Information","Please enter details of the product","Please enter the name, homepage and a contact email address for the product. If you do not have a contact within the product company, please put your own email address as point of contact.","input",0,1,0
23,"NZTA\SDLT\Model\Question","2020-06-12 14:42:53","2019-03-14 10:50:08","Product Used Before","Is this product currently, or previously in use at the Transport Agency?","<p>Is another part of the Transport Agency already using this product?</p><p>OR;</p><p>Was it used previously?</p><p>&nbsp;</p><p>If the product is currently going through a Proof of Concept or Software Trial, please click ""No"".</p>","action",0,3,0
24,"NZTA\SDLT\Model\Question","2019-04-23 12:15:09","2019-03-14 10:54:38","Produced/Owned By Agency","Has the Transport Agency paid for the development of this product?
","Has this product been developed by the Agency? Or, has it been developed by a partner at the expense of the Agency?","action",0,5,0
26,"NZTA\SDLT\Model\Question","2020-06-12 14:42:53","2019-03-14 12:11:53","Product Description","Please describe what the product does in plain English","Include description of the product's features, the ones the Transport Agency wants to use and how we intend to use them.","input",0,5,0
27,"NZTA\SDLT\Model\Question","2020-06-12 14:42:53","2019-03-14 12:13:57","Product Purpose","Please describe why the Transport Agency needs this product","Include description of why this is important, why the Transport Agency needs this and what would happen if we don't fill this gap","input",0,6,0
28,"NZTA\SDLT\Model\Question","2020-06-12 14:42:53","2019-03-14 12:18:49","Business Owner","Please enter details of the business owner for the use of this SaaS product","The business owner is the person who can formally accept risks on behalf of the Agency to the data used in this product. This is a business line manager, not security. This person will know they're the business owner, as their role explicitly states that they can accept risk. This is not a developer, engineer or technical lead position.","input",0,2,0
29,"NZTA\SDLT\Model\Question","2020-06-12 14:42:53","2019-03-14 12:21:43","Use of Data","Will Transport Agency Data be used by this product?","Will this product use/store data that the Transport Agency is responsible for?
(i.e. do we have a legal requirement to ensure the safety of this data)

Transport Agency data is any and all data or information that the Transport Agency receives, stores or transmits. ","action",0,11,0
30,"NZTA\SDLT\Model\Question","2020-06-12 14:42:53","2019-03-14 12:47:24","External Data","Will Transport Agency data being transferred or loaded into the SaaS Product?","<p>This determines if Transport Agency data is 'leaving the building'. SaaS products that hold information on behalf of the Transport Agency (i.e. information that the Transport Agency is responsible for) will need to provide evidence of a recent Penetration Test and Remediation Report. The Transport Agency has an obligation to ensure that all information that it is accountable for is kept safe, even when that information is being housed by an external vendor.</p><p>At the end of this questionnaire, a SaaS Penetration Test task will be created. You'll be asked to contact the vendor for a copy of their most recent penetration test report and summary of remediation work that has been undertaken. More information about this is explained in the SaaS Penetration Test task.</p>","action",0,18,0
31,"NZTA\SDLT\Model\Question","2020-06-12 14:42:53","2019-03-14 12:51:57"," Transferring Data","How is Transport Agency data transferred to/from the SaaS Product?","Please document the technologies being used to transfer data (e.g. Web Forms, FTP, SCP, Email etc)","input",0,19,0
32,"NZTA\SDLT\Model\Question","2019-04-23 14:37:33","2019-03-14 12:52:25","Product Information","Please enter the name of the project and product and project/manager name","Please enter the name of the project and product and project/manager name","input",4,1,0
33,"NZTA\SDLT\Model\Question","2020-06-12 14:42:53","2019-03-14 12:53:30"," Data Storage Location","Where will Transport Agency data be physically located/stored?","<p>What countries and cities will Transport Agency data be held in by this product?</p><p>The Transport Agency must adhere to guidance from the Department of Internal Affairs (DIA). This determines what countries are acceptable for storing information the Transport Agency is accountable. In general, the Transport Agency is allowed to story information in:</p><ul><li>New Zealand</li>
<li>Australia</li>
<li>United States of America</li>
<li>Canada</li>
<li>Germany</li>
<li>Netherlands</li>
<li>United Kingdom</li>
</ul><p>Other countries/jurisdictions can be considered, but these will need to go through a separate data risk assessment to ensure the target jurisdiction's Information and Privacy laws are compatible with New Zealand's.</p>","input",0,20,0
34,"NZTA\SDLT\Model\Question","2019-04-23 14:38:26","2019-03-14 12:54:01","Business Owner","Please enter details of the business owner for this product","The business owner is the person who can formally accept risk to the data used in this product. This is a business line manager, not security.","input",4,2,0
35,"NZTA\SDLT\Model\Question","2020-06-12 14:42:53","2019-03-14 12:54:57","Credit Card Payments","Will this product accept credit cards from the public?","<p>Will this product accept credit card payments from the Public on behalf of the Transport Agency? (i.e. Will this product sell products and services for the Agency and accept payment via Credit Card).</p><p>The Transport Agency is required by VISA and our Bank to maintain compliance with the Payment Card Industry - Data Security Standards (PCI-DSS). Vendors that accept credit cards on behalf of the Transport Agency will need to provide evidence of PCI-DSS compliance that can be forwarded to our bank. If this product is going to accept credit card payments, at the end of this questionnaire a Third-Party PCI-DSS task will be created. You will need to engage with the vendor to obtain evidence of current PCI-DSS compliance.</p><p>&nbsp;</p>","action",0,21,0
36,"NZTA\SDLT\Model\Question","2020-05-29 13:43:29","2019-03-14 12:56:45","Change Description","Please provide a description of the change","<p>Please provide a description of the change in plain English. If you have a high level design document that covers the scope of this change, you can enter the link to this document.</p><p>Ensure your description covers enough information for</p><ul><li>The Security Team to review the potential impacts of this change</li>
<li>The Business Owner to review and accept any changes to the risk profile</li>
</ul>","input",4,5,0
37,"NZTA\SDLT\Model\Question","2020-06-12 14:42:53","2019-03-14 12:57:40","Firewall Changes","Will you require firewall changes to be made to use this product?","If this product requires connections to/from Transport Agency systems that are not Web (e.g. Chrome/Edge/Firefox) the answer is probably Yes","action",0,23,0
38,"NZTA\SDLT\Model\Question","2020-06-12 14:42:53","2019-03-14 13:02:38","Firewall Information","Please describe what firewall changes you might need","Please name the systems that need to talk and how. This doesn't have to be technically accurate, but an indication of what systems need to talk and how would be a good start for Infrastructure.","input",0,24,0
39,"NZTA\SDLT\Model\Question","2020-06-12 14:42:53","2019-03-14 13:07:11","SaaS Users","Please list the names and roles of Transport Agency staff who will use this product","Users are the people who will be using the product. Please document the names, roles and permissions each user will get. If there are named groups within the product, please document the group that each user will belong to.","input",0,25,0
40,"NZTA\SDLT\Model\Question","2020-06-12 14:42:53","2019-03-14 13:08:58","Multi-Factor Authentication","Please describe how Multi-factor authentication is used by this product","Include the technologies and products being used (e.g. SMS, Google Authenticator)","input",0,27,0
