"ID","ClassName","Name","Description","ImplementationGuidance","ImplementationEvidence"
1,"NZTA\SDLT\Model\SecurityControl","Azure Active Directory Integration","This product integrates with Azure Active Directory for Agency User Authentication","",""
2,"NZTA\SDLT\Model\SecurityControl","OAUTH2","OAUTH2 is used for integration between the Product and Azure Active Directory","",""
4,"NZTA\SDLT\Model\SecurityControl","API Gateway","Product uses Mulesoft CloudHub API Gateway","",""
5,"NZTA\SDLT\Model\SecurityControl","RedShield","Website is configured to be protected by RedShield with IP Whitelisting to RedShield servers","",""
6,"NZTA\SDLT\Model\SecurityControl","TLS Certificate","Website uses Let's Encrypt TLS certificate hosted through RedShield.","",""
7,"NZTA\SDLT\Model\SecurityControl","Schema Location","You are storing the Schema for your API in the Agency's SwaggerHub account.","",""
8,"NZTA\SDLT\Model\SecurityControl","Schema Security","The API schema is only made public if the product has been classified as Un-classified, otherwise it's private.","",""
9,"NZTA\SDLT\Model\SecurityControl","JSON / REST","The API uses JSON and REST over XML and SOAP","",""
10,"NZTA\SDLT\Model\SecurityControl","Input Sanitisation","The API sanitises all input in line with OWASP to ensure it's safe against SQLi, Format string vulns etc.","",""
11,"NZTA\SDLT\Model\SecurityControl","Transport Layer Security","The API uses TLS 1.2 or greater","",""
12,"NZTA\SDLT\Model\SecurityControl","Authentication","The API use authentication","",""
13,"NZTA\SDLT\Model\SecurityControl","Service Level Agreements","Controls are put in place to protect the API from Denial of Service. Rate limits etc are applied.","",""
14,"NZTA\SDLT\Model\SecurityControl","Access Control","The API are configured to provide group based access control. Users are only given access to the API relevant to complete the business task","",""
15,"NZTA\SDLT\Model\SecurityControl","Logging","The API logs requests to a location that can be analysed by the Agency's SIEM product (AlienVault)","",""
16,"NZTA\SDLT\Model\SecurityControl","IP Whitelisting or Mutual TLS","Where the API is system to system, access will be restricted using IP whitelisting and/or Mutual TLS.","",""
18,"NZTA\SDLT\Model\SecurityControl","User Account Lifecycle Management","Ensure that user accounts are managed through their lifecycle process, including:<ul><li>Assigning access rights aligned with the defined access control policy</li><li>Reviewing access rights on a regular basis</li><li>Disable accounts when a user leaves an organisation</li><li>Disable accounts when a user no longer requires access</li><li>Remove or update access rights (e.g. when a user changes roles within an organisation)</li></ul>","",""
20,"NZTA\SDLT\Model\SecurityControl","Password Policy","Accounts use passwords that adhere to the Agency's password policy","",""
21,"NZTA\SDLT\Model\SecurityControl","Active Directory Integration","Virtual Machines are on the Agency's domain and user accounts are managed through AD or AAD","",""
22,"NZTA\SDLT\Model\SecurityControl","Local Accounts","Local accounts are deleted/disabled unless absolutely required","",""
23,"NZTA\SDLT\Model\SecurityControl","Data Backup","Ensure that backups of business critical information, configurations, logs etc. are recoverable to assist in meeting the defined Recovery Point Objective (RPO), Recovery Time Objective (RTO) and the Maximum Tolerable Downtime (MTD). The data backup process may include appropriate controls required to protect the highest classification of information included in the back up as well as regular restoration tests to confirm its effectiveness. All backups should be stored either offline or with geographic redundancy.","Backups should be stored in a geographically separate location to the production systems. Backups should be stored in approved jurisdictions only and be encrypted.","Please provide details of how backups are created, verified and tested."
24,"NZTA\SDLT\Model\SecurityControl","Data Restoration","Data restoration procedures are documented and tested","",""
25,"NZTA\SDLT\Model\SecurityControl","Data Encryption","Data stored on the VM is encrypted. Either by whole-disk encryption of file-based encryption (e.g. database encryption)","",""
26,"NZTA\SDLT\Model\SecurityControl","Logging and Auditing","Ensure that information security related events are logged and audited for accountability, incident management, forensic and system monitoring purposes.","Logging should be built in to the solution. Events should be logged whenever a user authenticates, access or modifies data. The logs should be protected from modifying by all users of the solution and retained for not less than 12 months. Logging should be configured to be shipped to a Transport Agency syslog server. Contact Service Desk (service@example.co.nz) to get configuration details for the syslog server most appropriate to your solution.","Please document the logging system that is receiving the log files from your solution."
28,"NZTA\SDLT\Model\SecurityControl","Malware Protection","All Virtual Machines deployed must have malware protection installed and updates working.","",""
